host,scene_name,date,scene_token,first_sample_token
host-a007,host-a007-lidar0-1232490767197744146-1232490792098614756,2019-01-25 22:32:47.300804,e147ac689e9bb340325f2c499dc7c6cb7a1fe220d1202aa06374c4d68f3dc769,653f70259ccd3083571c5c5beac46fe5f937b285f3bf1b14b242680c24f5a98a
host-a011,host-a011-lidar0-1232492192198952026-1232492217098860706,2019-01-25 22:56:32.301720,cff25ea9f04a36e8f395e23e3cfcfa73bfe93600c28724091fd243c803675007,3a9c27b30485c30d98a6c0d5a6f1ea2857aa932a2757e074f2b4c14dc1aed081
host-a011,host-a011-lidar0-1232731591298977986-1232731616197888346,2019-01-28 17:26:31.401913,b54023a72f1bfb5cade1d588d104978cc3fcd12028e9861eea513c897167903c,b7acccfcf83ad3d1d3e2eb7b7f7b3a4af7d130f4d964a7d91f1ac51129ae9eb2
host-a011,host-a011-lidar0-1232732468299489666-1232732493199050666,2019-01-28 17:41:08.402211,a551f9ff71f5650c5954a191f771b2608ee9942c764e6f8a2be115f833d3e457,9eca1614e26d608e217505637dd6af384d4317175569e35b002c9dea60ec83d2
host-a007,host-a007-lidar0-1232736726098319676-1232736750999473736,2019-01-28 18:52:06.200960,1793886dd3dbc6714dbb66e0167226edcb4fbe5f51de2b92d1918f925d8937ee,b9c9e74ac7b8eea05f473af53ea984325d34a522866715d384cc4b3d1e2096f0
host-a011,host-a011-lidar0-1232738595197630316-1232738620098495346,2019-01-28 19:23:15.300285,4931b9e3cb870d2bed627cf45a12a48438a2a6a7602b8ea6163f94b8f4f0caa4,0fe2a463c6ad781fd0a0089b388d30cfa99f9b3051bd8346f1bdfe753abcd1c4
host-a011,host-a011-lidar0-1232745770199275666-1232745795099558556,2019-01-28 21:22:50.302015,6afb0e5cee58c1c2583847e1eaa94175e375c597b44f032a115f39666d7571a6,debd736d5102aed9012c7680c02d0121a1d808233b4c70f7a34addab6020468b
host-a011,host-a011-lidar0-1232752461198357666-1232752486099793996,2019-01-28 23:14:21.301038,400d70cf4c3202418a17814b4dfa5542d1f069fe9716a0b5fdeee104863b4124,9b69ac58ff3bf6f0206fd37fc7e58a08ee8f47ae64c1c0e058fb8072cbae3dee
host-a011,host-a011-lidar0-1232752543198025666-1232752568099126026,2019-01-28 23:15:43.300830,dade599b4c186ccde906db20beb010f7b71e6c1d60817888d98a868e32436631,617d56e9f6d9c8ace3fd7bf32beb2e958221ae3fc3fc30b6aadcaf02807d8359
host-a011,host-a011-lidar0-1232752778198249666-1232752803099491536,2019-01-28 23:19:38.301115,1e51e9e311810d6749693b8b94942320ed82e3afffb9775c7aff2f5c5ecf69d1,6f83de7145299355bbd0949ff3551406e5eae158b2cc8408c632605d23bced0b
host-a011,host-a011-lidar0-1232753667198514346-1232753692099110026,2019-01-28 23:34:27.301320,8559167370841457db1ace4aa9b149db7048699534c638c84b1b1773828f4e6f,5a7bfef81b6a80d897b9ffda8039775aa4eb4d033f0cf1515ba444ce62dd85cb
host-a011,host-a011-lidar0-1232755934199060666-1232755959099356536,2019-01-29 00:12:14.301750,b45f513a29561cc533d5a975a1bcf3abe160cd57b7409ba821327580d56a20d9,3c68f7296184e58f2b76d24dbab74897dc1303a6123ba963ea954ac8a6afff8c
host-a004,host-a004-lidar0-1232815252198642176-1232815277099387856,2019-01-29 16:40:52.301697,328ee9d180f02a82516e8c5b4113ed18d8a36d2023c3ed3d5c219c1d7bb2cc79,5c72da8e708cc22fd95847985f4035474b7669444ac875fc6ae5f1f7b78d13c1
host-a011,host-a011-lidar0-1232817034199342856-1232817059098800346,2019-01-29 17:10:34.301939,c0246c49a4f723eabf610aa4af4cc93bafe2bb677084d638b54d2ac3019c78db,4b480a7997ccc5489479e21c067ae70e36563dfeedc726575d6cd0a34e8d99f2
host-a004,host-a004-lidar0-1232817645198462196-1232817670098101226,2019-01-29 17:20:45.301209,77e66f727e1e41bc239c5a479b3e08f46128a2ae2ec2623cedd0d934542638a3,e3bcd68d23f81cf7d6b1dfab602b9323a0662f0e187c6f61f55c752a7400e791
host-a004,host-a004-lidar0-1232825386198046196-1232825411098056856,2019-01-29 19:29:46.300869,476107825d951621d75cd6aef7f249634c1e19971153d8126a28639ae4b8dd7e,3045f68bbf6bb2dd5b612564260cb67d2b17752b69d983a4c272409b6a28a6a6
host-a004,host-a004-lidar0-1232833308197903226-1232833333099155226,2019-01-29 21:41:48.300869,1f37c0952d6853fe42b9a6fad311de39e4b5fb204f29063b8d8357dbbbec9b56,25e11d674e1470874581843a35ce5385df81884c7b18e69cf3151753e550bb35
host-a011,host-a011-lidar0-1232835293199223316-1232835318097646346,2019-01-29 22:14:53.301779,25721546712bf8ba8729d88992ba2a72ed04918ffda3081cbefe3e1a6c02173f,80649eab096ce150b396c9211502f47483baf52c97115fb2681c2d070a43a773
host-a011,host-a011-lidar0-1232837612197878316-1232837637099721996,2019-01-29 22:53:32.300625,b8492fd868445918e25be1f061e5c3488252b8c05a677595bde98b26877d2f58,f59c9f22016b783c6a7e5225fc56fccaf4fe3df4a9d96c27d9e51ba7ccfdca74
host-a004,host-a004-lidar0-1232838138198668196-1232838163098533856,2019-01-29 23:02:18.301263,ebf95d1a719d8b702ef64167a59f427306fdbce3104ec38a9eae1afe6e15fd63,76339d7bd0455f6563aa6f4d8698bf10b95cb304ca98e09cf1d70c3f30ceeaed
host-a011,host-a011-lidar0-1232839939198224316-1232839964099010996,2019-01-29 23:32:19.301173,de4d664bac1b11cecd0d8fb43a226366da81d42a90d204f75bc3b4dc7d11709a,bd91f16587e9c7ad329647974b6b76cea69184278238d3e9d4bac45763fdad8e
host-a011,host-a011-lidar0-1232841333199326666-1232841358099777556,2019-01-29 23:55:33.302338,29bdd72da61e55ada4336dfaf15c98e8a0b8b7879c0746548f9ef2487915d5b1,9f535ae7b854022da2d6b995da3d1b818006a98dbb85d5ae40399c0422f91565
host-a004,host-a004-lidar0-1232842166198181226-1232842191097390226,2019-01-30 00:09:26.300797,b57e5bfce65f9992919f9aab3ee7e7a2ae106834a2e0318203f7c54974913e32,ca50736f8302b1bf28fc057325004d88dc513f8608e6d4196827c8eabb8f1b56
host-a004,host-a004-lidar0-1232842367198056546-1232842392097783226,2019-01-30 00:12:47.300595,f9248825193fe8f7e4eb99d38eb9bc28ce34ca2bb2715596ec2398b122183c55,e238bebee2a370c634cc923605597cedcf936aa2594c8225f2425b4fbc487e36
host-a004,host-a004-lidar0-1232905117299287546-1232905142198246226,2019-01-30 17:38:37.402062,457ee355fa9041d8560b7d9dd9322156ce7ea74f4b2233e3581d53b1959a70f0,316bcb65b76fb70b7d368e0622be04d417af640e8e2b26120d9ae071560ceb4d
host-a004,host-a004-lidar0-1232905197298264546-1232905222198133856,2019-01-30 17:39:57.400887,22207f9377d35fed2231a3f5d6d762fcf9511f8e356b742a64f6c3820cdcde3f,846ad5548c8e1b5ea0522e7295a51dae31338add0428ac3d1f166c781222ebf0
host-a011,host-a011-lidar0-1232905783299194316-1232905808199600976,2019-01-30 17:49:43.401894,5f385237e9e39d0ec790f927ed56dfb88556c781361b7e0c09ca16874cd7a09b,e5dd0e47510ff5e093bc651801f1012583f993940fd4626da6c36e259e6984f9
host-a011,host-a011-lidar0-1232909940298708666-1232909965199312906,2019-01-30 18:59:00.401335,f6b2b1c59e388a5d6ad4dfc4d3955321c9a308088fc26f0beaca7379672492a5,e06c64937318b79f710dc5d393df4a2959c412c2d0bd138f434b40c8fe21376e
host-a004,host-a004-lidar0-1232923266198326856-1232923291098716906,2019-01-30 22:41:06.301072,e395892c4b80eabd046ae7f43a58a5cea7950595997ffa8276e1a38836e6f2c0,c686b18fae3ad7270f47bde4d4cb4c2182bd254cd9c581443c81d8c42c93adf0
host-a004,host-a004-lidar0-1232987652297797736-1232987677198272416,2019-01-31 16:34:12.400361,b798a6558152c891c6b519d4bbd38f444379b354ce4e3b6e5c1bed97b2ad9368,67d8cfc8584a6611652f3beb815d1ee5c86af372ba809ab7bbd0c8c53f56317d
host-a007,host-a007-lidar0-1233007769198478676-1233007794098024226,2019-01-31 22:09:29.301247,5ea4a945fcf1109a0733d70b668c06dc590b07ad9d07b31085aabf41a0165ee1,8887bcab0052c5f59b665cce28ad5d2407a297014505e3fdff157229fb850ba1
host-a004,host-a004-lidar0-1233011743198634026-1233011768099043756,2019-01-31 23:15:43.301214,7389a0ca47be0417b010615bc6a4851367ac8ceafe74dc8f4e4253e0ed2734d1,9616cdd09973c9fe5e7e3e322926c80957fb5658feab2faef52dadbbd863927e
host-a004,host-a004-lidar0-1233014343198383656-1233014368098267106,2019-01-31 23:59:03.301202,58b234036191b8f5a622523ea0dd652fd19b018ec339964b08fb241af0d661b7,7d914418c976635b22d777c80ccf807433f35fb76492f0467aa1e8fb191f6780
host-a004,host-a004-lidar0-1233014843199117706-1233014868098023786,2019-02-01 00:07:23.301836,8246aafd339a991f4946d83b7fc9770e53b4f2cfdcf9f941b123a060ba56613b,a1d242ea7ed3e7e1ba8606250a0648b77eb7808e54c83109464794a3b17dc168
host-a007,host-a007-lidar0-1233079617197863906-1233079642098533586,2019-02-01 18:06:57.300770,51b7bdbcb4d856e7da7c26a5693d20371a2e58f8ae5f5ee991759cef257b47fc,295cb2836e9280e0fce2a104437fbec047e0241d0649e8310d0422ae3714de80
host-a004,host-a004-lidar0-1233080749298771736-1233080774198118416,2019-02-01 18:25:49.401317,8a6dabc7e86c1c0c5ee055f511a9190bae10bf8c8bef12ec2ae160e00bd935d8,f612b8061b8fab08e8d962126e8def5324edf1196a505afafec3108dd232fb52
host-a011,host-a011-lidar0-1233081021198156856-1233081046098157026,2019-02-01 18:30:21.300930,12d85b666c1896c3298b5eceffe82684d9d803c9d826cf3566d8d5ee7ccb6d75,218c907c3fb96e29abd55da089e0ce1e73d9645cd81dcc5177db77c1d048f40e
host-a011,host-a011-lidar0-1233087918198597316-1233087943098472996,2019-02-01 20:25:18.301232,6c9fff948d6812804e0171021325e340717b4ff7f6ecab3a5faa8f5ba5a1d1e7,04ffa5b69f6b6e4734b3924c23efcb8270580ab05a34ad62d7e10a0265957a6b
host-a011,host-a011-lidar0-1233090567199118316-1233090592098933996,2019-02-01 21:09:27.302049,1b9f5bb4ce2a527abe8fd420728a00c6c66ff623b1473664f38cdb33bc6d2290,30fdf0c942f97be7f36bc0681bb2b3292193c14778ce94b91f0567399418551a
host-a011,host-a011-lidar0-1233090630199206666-1233090655098843996,2019-02-01 21:10:30.301927,190708008d931a47a502920d034f0f1ec8ad874aa4eb23bd7cbea26e34146542,3627e39a68b8672c5a4f9b6deca856a2191c866021edb0dd1cee872db0cf04cf
host-a004,host-a004-lidar0-1233421984198960226-1233422009098905556,2019-02-05 17:13:04.301944,b77f9738a4e1ecdf173a1417bd8381c761bc20387b1e8504fa79c3124c3156d2,4a50ca2333cbdee4a985f797a0cd7e208df5c0b32df955db9d3f2434e2d128a0
host-a004,host-a004-lidar0-1233422539197434856-1233422564099152556,2019-02-05 17:22:19.300179,47ce1d46dc84a54949a350ff4e0cc855fb0cd8ab02246951a10a95ed6b0f863e,a824006e0e1b71af3fe3a057b2536c86ce7ca1b369d8c573a540e84fcb96fe35
host-a004,host-a004-lidar0-1233427004198119856-1233427029098998676,2019-02-05 18:36:44.301052,499bc15182ed10f108ecf0b99ef3804fdd44b51234016de6dc6cd7bf83c2dfbe,5e14c1e3c2b7469a64b9ba465e201f2327ec7d244dbd4eba50eddb330beff09f
host-a004,host-a004-lidar0-1233442991299115176-1233443016198370876,2019-02-05 23:03:11.401931,c296b5d7dc108a3636cbc55d86001214e88bf2f5177c6341827d8ed79835bb04,efba8b1bc27d5387598a596cbd09c583da32952f92f52a7840e1956fe8f021fc
host-a004,host-a004-lidar0-1233444816298625546-1233444841198302226,2019-02-05 23:33:36.401328,d000cd5a191d7f4709e82a868405f46d4fce53468bb5017acff32a1dea4950ea,f8b8ba71505f43f16c1d929e3f634817a37b564425215d4c1addb1039063fe3a
host-a007,host-a007-lidar0-1233508020098603466-1233508044998550666,2019-02-06 17:07:00.201149,78772737db81fe789ac0627578ad7036ca0eb30df166950eb4b16840f3b2c26f,c91cdab901d9707fad6820d1ccce43e2b0f62da77bbe9e5b17e756226a686134
host-a007,host-a007-lidar0-1233510205099156466-1233510229998563196,2019-02-06 17:43:25.201961,d6ac70f6233dd91a1aef2cf52a10032a55c0f37404957c38f486fc36a0481a64,e31d16af9fedc647efad8c0e8a39931ec3659a27ceba47fa31fc6bc6bf7d091d
host-a007,host-a007-lidar0-1233510590098435146-1233510614998778546,2019-02-06 17:49:50.201260,90d3491d02d1b49d97cd0bd89191184b34fdc1298e8bcbe051a4efcad311fcb1,4552165d75814bc7cc59798ac5331d3f67a9046c1be421ab03d8bc44f6621f87
host-a011,host-a011-lidar0-1233512833198873346-1233512858098831906,2019-02-06 18:27:13.301697,f0be85ab6d620d12f2fb4b43fd0892125a19ce9371381618c3df9033c179ce9f,f6a780c874611bb2d98f582114de0df50ee137969a801cdb65be4197524f9ff7
host-a007,host-a007-lidar0-1233515286998507736-1233515311898052226,2019-02-06 19:08:07.100996,0a59784804891232df2fdf2c556f0a4b5f02ff2bfbd5f00822f17b17320d457f,05a4b47dba0fccbb983c3b60d33a3e64e9e8509e853f48830fe6eb9b2f858187
host-a007,host-a007-lidar0-1233515591998210666-1233515616898664876,2019-02-06 19:13:12.100853,fdf3f851df2deebc5ce0fdd2a2aa803a10f8ef1897c724124a3360bc47997fb4,169427660535ddc467515b7c365291302e6ba196171ea0200e1b6510f41d8a48
host-a004,host-a004-lidar0-1233516150198382706-1233516175098720106,2019-02-06 19:22:30.301497,3000622b0d524cddccec8df22e1613a9d821b26662a6f180280f43e5271ebe4b,50257938dedb057af8b98a8f8ddf73672cb0b936a8aa4e4e629e8ae2d0cf9c29
host-a011,host-a011-lidar0-1233522430198228856-1233522455098303536,2019-02-06 21:07:10.300833,2595b4f486ef9741caf155c558b2328b9143e0632e55459828dc9b4b376702b6,7078599d27865714f28be5dcc5faa23ffe9a768f089db3a4a8fde4a970a2e241
host-a007,host-a007-lidar0-1233524852199250466-1233524877097605116,2019-02-06 21:47:32.301933,10781ffa33c746c693a1f512a5ee246d96ec47be1b12b1fc15e2f53eb6b52db7,8a8b1b3cb0234b5f22685c843ba1924092683172eec2a2d3177bf606d0118ff9
host-a011,host-a011-lidar0-1233524871199389346-1233524896098591466,2019-02-06 21:47:51.302148,7a0471c7ce0c4140ac061490d7be370934c1eff5d33b45c8d31390d260f31768,027861729f4a4eaa285b3a51a10195aa23c711c9f91823d0065bc07d9c0a761b
host-a007,host-a007-lidar0-1233529706297796756-1233529731198779786,2019-02-06 23:08:26.400567,950cc1dd9bb7859560b2e4047fae3cdcf0b7e2ee072e4d14dea659ece8a00b82,5da2649006d4a20919922d2a7d25157168984cb783a30ac5097a183901f9b93b
host-a004,host-a004-lidar0-1233535955298751556-1233535980198120666,2019-02-07 00:52:35.401773,f4e6364d2a7e6b5506b073d2c2cff238dc8605dcc93d6509b74853e5e2d6beed,8881008b5a8ca35d1c7a7777627935b5e08d869584bd9533cf36e317966af212
host-a004,host-a004-lidar0-1233602012198802906-1233602037098984906,2019-02-07 19:13:32.301461,5f158f2069f5d61b9632659e565b7a1402386d7fa0b44776a9b3944480b48e96,4b7aa7164775c3a154d978c97e2f22fe2f789e47c7239c6ef1787d905892de70
host-a004,host-a004-lidar0-1233615989298293586-1233616014198854636,2019-02-07 23:06:29.400924,0d0733eae2c54c8c8c2664db7c53c3957142e31d81a9ab80c74c060f9dd37e76,59e740bc8207aa93e07f471f129174702468211dbaa360a67d8205800a063653
host-a004,host-a004-lidar0-1233617933297688906-1233617958198483986,2019-02-07 23:38:53.400372,4e3657bd1f623fec904a331fbfe2e4c88f31c0fa9eed3b6ab500e27f28c18170,2c0513076771ce04106e30a6cabc9e2860356638bf76e3a39071c97610271e92
host-a004,host-a004-lidar0-1233618009298519906-1233618034198134636,2019-02-07 23:40:09.401360,122fe1ccf369f6d2627cf68fd972d18b9a76da97904dc7fe5b613b22bfa9b2e7,a7987dbcf6606e357c9df7d7bd2bdd43a780a4968bccab62d2cbfb708fe8d607
host-a004,host-a004-lidar0-1233620260298411906-1233620285198333986,2019-02-08 00:17:40.401294,5d5a33e433e30af5784b9342e0577304aa580b1d53ec241b881ecb50c6a98299,8e5b719f1f69bd1807ad16833768d56bfde90015d79e474284b87822e9a67a88
host-a007,host-a007-lidar0-1233621256298511876-1233621281197988026,2019-02-08 00:34:16.401257,d23bc414dd4c48a55e24d80d86cc54f393ea20649f381af567b53644b761b40a,8c439f82aa3a03cac82b8e482ae6d5ad39985a2b75df88ca8aea4361fa3cfe63
host-a004,host-a004-lidar0-1233682997198306636-1233683022098032666,2019-02-08 17:43:17.300944,cd8113a9da9a2b65930ae9498b98598655f2f17f39c59c779183d5640c827a55,4411e126af0341fb17536085bff790e94bd808ad5e411b6e57aab691f21348cd
host-a004,host-a004-lidar0-1233685221298830296-1233685246198471636,2019-02-08 18:20:21.401173,f3360ab6770490b144a42738c4895e398a30bc9ddfba6da02412f2debc25273f,c2a3435d1ed936457f78d9306db108b752e791d770a0b71f346af9322a78d439
host-a004,host-a004-lidar0-1233685315298191906-1233685340197986666,2019-02-08 18:21:55.400924,488242e813082539205ad2fc5e73a4a65c20ec385dd82350bb5e3a3c5054219e,c13bcefcc7922658b0197ec141ec9d6c44594161427965739fe017b7ece0994a
host-a011,host-a011-lidar0-1233688931299349876-1233688956199708556,2019-02-08 19:22:11.401949,89ddf4a307f6a8865b208c6803b9716b625f8b22be0b5cdb6ec1bf6a0f085f24,efdabe04affdbb8c4107c101ad78ac2a2fc71d837a1f681905c943820a475245
host-a007,host-a007-lidar0-1233689791098884906-1233689815997978986,2019-02-08 19:36:31.201494,b02742e07bb91c4d6033b0205c7efe958ea7494096c8e01577159392db76e4f5,c598519cd87ade5945b92baf49e2307f903cb2e3e5c4560a3cc16ee81d3635a1
host-a004,host-a004-lidar0-1233693191297468536-1233693216198791636,2019-02-08 20:33:11.400235,ced54e296d660872200e6b29577e1d1f83f35fe40a63dcbad04135049175a6c1,a7332541d6832a9a0002593d9bd75ab66aa7b37f8a92487dd592b305091d6ea6
host-a004,host-a004-lidar0-1233693263298064536-1233693288197865986,2019-02-08 20:34:23.400972,b9c827f9c44053263adfc9b98847ca4e9282bb5700f9d0238754d0b00bf4e9cc,52afc6bfc9ff7457af65f1422bb5c14a93fbd5ffcbb78a471f560d4266f38fdc
host-a007,host-a007-lidar0-1233946614199227636-1233946639098289666,2019-02-11 18:56:54.302005,67fc193bdbf42a68f53daa3f93d1c7fe84106e434c25c9931ebca02c2367cc96,9e5c22ab12b3ce0a814a6de78b6ff76a7c97f8935a21110ca30b8843e37fe943
host-a004,host-a004-lidar0-1233947108297817786-1233947133198765096,2019-02-11 19:05:08.400914,114b780b2efd6f73f134fc3a8f9db628e43131dc47f90e9b5dfdb886400d70f2,d2fbc1e67cf5a017016694498386ed8e400c6dd3e11035856e10c22a9fe02ed1
host-a007,host-a007-lidar0-1233954992197900986-1233955017097982666,2019-02-11 21:16:32.300980,df62d3994e1ccfd0343f4b83a70f1ad09890fea65a124e7fc9bb4add071f24fa,dd714da7f8409fbac6ddb9ed3f1c9ab4606e663102eb8f597efbbc9ce0409027
host-a007,host-a007-lidar0-1233955131199105986-1233955156098128666,2019-02-11 21:18:51.301860,dbfcdef2287b48e2fc5db1769b0bef24054c08128f0b966b28fc7f69b2297212,8728732d9799682d3f109871c42cb97f6441374cda06ba1cea365d30db29eb1a
host-a004,host-a004-lidar0-1233955731199067146-1233955756098663196,2019-02-11 21:28:51.301857,65069e841035cd054e455b4a276acf6c09bfb2873f229a3356d8d3f3d47a569f,ae1e478f1ab5ea7423589997569f01859f7fa06684fd5943ed4b2ff83a27ce13
host-a007,host-a007-lidar0-1233956183198377616-1233956208098469296,2019-02-11 21:36:23.301316,a4dec175a156d1330114d90581d4cbbe7f8cc3acd512bdd0a13c18459b483bd3,23e6957015070fbb32ba8b130723207b74ce7151f342c573b5262897f64a7df3
host-a015,host-a015-lidar0-1233957265198932906-1233957290097795666,2019-02-11 21:54:25.301613,c7b417eee2b7a886d078a71b5f8e2bbd46c6dba3d14e244b1e17ac9925f07db4,823ca5d406a8797c4112ad966c5ebc6de3ae2b4a5acf55214c4f775e5bfed59e
host-a007,host-a007-lidar0-1233960442199212986-1233960467099041666,2019-02-11 22:47:22.301930,082754a44a335ee03acb9fd8b63c31c67e8c436446b9b3ca1fc09d41a2a1373e,1914760e807b6c32fff86a28a739d2c54eb79899f0367daef4b381aaa87826f7
host-a004,host-a004-lidar0-1233961181197891466-1233961206097713176,2019-02-11 22:59:41.300534,eea49f9f02c6fd1c3cacdaec3f452c0eebcaebdc9adb435e6f42ba0bf743b76f,5b4b6f68e8bb1897a58a828a8a1432d4b8a66fd27b6d25c23a8a83c5f0a0db8d
host-a011,host-a011-lidar0-1233963416198495906-1233963441098571986,2019-02-11 23:36:56.301269,1c469d9ba0b92d018a9a99b10d28dd17c76bcd08cea367946df7903271b237f6,f756368078bff1b806927de93f6e4060c924426a053ff1092ea69105fd2436b7
host-a004,host-a004-lidar0-1233963848198981116-1233963873098642176,2019-02-11 23:44:08.301911,751fb2b81142310c164b91c031483002893048fc857a843a27b117c8a38af783,4bae547aa66fe51b352fa0b28bffc532256952099935f173f2d17ecb3777a527
host-a011,host-a011-lidar0-1233964282297830226-1233964307199768556,2019-02-11 23:51:22.400705,1286d31592c4324d15d163b9cf9b4b6879b6222e550092e1dbd42a1f908db703,0d0420dd2254685898087912f018e2ac7fc01fec9aa9718ae449505de90406ea
host-a011,host-a011-lidar0-1233964369297973906-1233964394199186906,2019-02-11 23:52:49.400799,7e1a16bee39edf643a1fd4440ae6cd90a952deb5c0e9a5a2fc06d85dd2dd1b17,53fa45c73fe49199fd37eebf932bc1eef4fb402b22f5e8466a6614b01b2e4225
host-a011,host-a011-lidar0-1233965312298542226-1233965337198958586,2019-02-12 00:08:32.401285,f1d8465edaa317ce1e4a38d1ff47bf996c4a7e44e6a3507628b66de4c72f3ebf,2d05a05a0862db8c24d8fe955971599815ecba29978f560308a0efa66f8df866
host-a011,host-a011-lidar0-1233965426299054906-1233965451199121906,2019-02-12 00:10:26.401583,a6afe4a83e2c29d41f7b31159449458bb5acc5fcc95feadaf19110de6b6eeacc,86834caf58788e3dac3464714348ae33ba1c20bfd48e12906e49fa1de87c3600
host-a011,host-a011-lidar0-1234025165199395146-1234025190098246226,2019-02-12 16:46:05.302318,833940754e77388aefa3d165c242abe4fcfdfb6823cbbcc5eb4c0ae5ea1ed302,d46f8b93abed0d005ab70fcc638ba1a1311f8952e1ed71e2bfb6b9c0e84acdf1
host-a011,host-a011-lidar0-1234031754199586656-1234031779098211226,2019-02-12 18:35:54.302134,b97a51aa9a3dae92ed4a67fa9f502344aa7cef7310c7a8579c379641aa535bab,401e8fd8309c6b1c2f78f22c09df8872ae601b1fa1dd062c23960d151d563a42
host-a004,host-a004-lidar0-1234047743298156466-1234047768199244736,2019-02-12 23:02:23.400832,f82b1ab6cc2a16c6a0c4fd7c1338e0e0523ac93ffb7682c72479f2d3a90a650f,fd383cd01540b459c79c84f64081b8dcb83d7f4c436003ab7d1a1c807ff77c4d
host-a004,host-a004-lidar0-1234051595199019546-1234051620099157876,2019-02-13 00:06:35.301688,7b082408a357c19eb75d9306dd98d6d96af70690e333d5ecd20beaf7564ad12e,04cdcf74e35f6f9e5221393eae3019f36624bd0e3fc7edd47c0d5962754b5d8a
host-a011,host-a011-lidar0-1234466278299425556-1234466303199121616,2019-02-17 19:17:58.402104,8b92f0eec8a8fd312adaa6bccb05c27f596e729d968202a9c223baf4a02e3a02,c2279039a878b97771a0613a1c57bb8bb32b0529cfb3b3c34bdac1f4dcdef9fa
host-a007,host-a007-lidar0-1234551913098444106-1234551937998728436,2019-02-18 19:05:13.201094,9250784e5b44ef4a0f8f507104610b11eca68d0a74ff7e5bff8a6d4ab1210f4c,6b561e65f31e3da51d01c9d87a35dda3b8ba3f3ac090b81e001de43cb8ebf994
host-a011,host-a011-lidar0-1234553365299813296-1234553390199271786,2019-02-18 19:29:25.402565,56c91e565c865131513da3713b9b9bcf0dcbb7e1a6d97e499fde7be85f07314e,2ea8734c2c318ceb2d224b8e6bf968b8bec5b52c0b27358ea00b5a0f2760bd72
host-a011,host-a011-lidar0-1234639296198260986-1234639321099417316,2019-02-19 19:21:36.301001,3c4f82dd8c5fb7bf3ddcbdf5dce573d46ed0fcd8c6d7e15effdecb7bf2919463,8cff26e8682ea05712282541df9e4bba2624e2921e8855bd1171b2e59ddc07a0
host-a007,host-a007-lidar0-1234737958998212856-1234737983898305906,2019-02-20 22:45:59.101044,d2b551c4c7d4bf17e958a478128f2a41cd056e92a1199a42eb51ea9dea108ac8,f966060d04eb29cd27163057cb195f504a324b8cc387e0bf05d3bfe1cc3d3822
